Place,Latitude,Longitude
"St. Stephen's Cathedral, Vienna, Austria",48.2084923,16.3731269
"Schönbrunn Palace, Vienna, Austria",48.1849894,16.3115684
"Belvedere Palace, Vienna, Austria",48.1910716,16.3797606
"Hofburg Palace, Vienna, Austria",48.2063294,16.3656259
"Prater Park, Vienna, Austria",48.20849,16.37208
"Kunsthistorisches Museum, Vienna, Austria",48.2037395,16.3617819
"Naschmarkt, Vienna, Austria",48.1977278,16.361819
"Vienna State Opera, Vienna, Austria",48.2032859,16.3691934
"Albertina Museum, Vienna, Austria",48.20849,16.37208
"Rathaus, Vienna, Austria",48.2108257,16.3565728
"Kärntnertor Theater, Vienna, Austria",48.20849,16.37208
"Votivkirche, Vienna, Austria",48.2154146,16.3591401
"Hundertwasserhaus, Vienna, Austria",48.2073844,16.3939411
"Graben, Vienna, Austria",48.2090711,16.3690528
"Sisi Museum, Vienna, Austria",48.2076988,16.3656104
"Heldenplatz, Vienna, Austria",48.2060921,16.3640091
"Wurstelprater, Vienna, Austria",48.2158036,16.3993734
"Leopold Museum, Vienna, Austria",48.2025896,16.3590667
"Schwarzenbergplatz, Vienna, Austria",48.2011836,16.3742935
"Haus des Meeres, Vienna, Austria",48.1972764,16.3540014
